bars_per_day,quarter,n,r2
20.0,2025Q3,10987,0.3836931148013807
20.0,2025Q4,9048,0.35912112678723485
20.0,2026Q1,6564,0.42705867956670374
20.0,2026Q2,5009,0.41900911723377976
20.0,2026Q3,2925,0.3845575537487892
30.0,2024Q1,4526,0.38767945166486806
30.0,2024Q2,4142,0.391512604030107
30.0,2024Q3,3418,0.32831569118450854
30.0,2024Q4,6214,0.3913191643494257
30.0,2025Q1,5525,0.33173198932618786
30.0,2025Q2,7097,0.31253004684507857
30.0,2025Q3,15562,0.3957818078609785
30.0,2025Q4,12896,0.355465580251078
30.0,2026Q1,9548,0.40920823088804903
30.0,2026Q2,7313,0.4206967945058122
30.0,2026Q3,4293,0.3786073671651068
50.0,2024Q1,7341,0.3860944126370943
50.0,2024Q2,6625,0.3889057527367118
50.0,2024Q3,5522,0.34080024048166124
50.0,2024Q4,9837,0.40049501271348176
50.0,2025Q1,8776,0.3322444074561357
50.0,2025Q2,11245,0.3178874066767122
50.0,2025Q3,23238,0.39710538024784836
50.0,2025Q4,19391,0.36492892224929196
50.0,2026Q1,14857,0.42206875145396006
50.0,2026Q2,11489,0.41769350991208654
50.0,2026Q3,6848,0.36665019749368477
70.0,2024Q1,9939,0.40168772537263187
70.0,2024Q2,8925,0.3964847031169476
70.0,2024Q3,7484,0.3435132610946514
70.0,2024Q4,13024,0.40013181069009474
70.0,2025Q1,11739,0.33901169460718905
70.0,2025Q2,14988,0.3219393998738108
70.0,2025Q3,29292,0.4051227563234031
70.0,2025Q4,24632,0.37009994780867694
70.0,2026Q1,19368,0.4244409347464283
70.0,2026Q2,15184,0.4282806229010302
70.0,2026Q3,9111,0.3681216710641342
100.0,2024Q1,13486,0.3987085847068085
100.0,2024Q2,12032,0.39791928801113874
100.0,2024Q3,10152,0.34231286935014216
100.0,2024Q4,17228,0.40023490110684834
100.0,2025Q1,15728,0.3404598062562567
100.0,2025Q2,19909,0.3246025381515577
100.0,2025Q3,36248,0.3998151893110139
100.0,2025Q4,30787,0.3749134043025276
100.0,2026Q1,24892,0.42848185937089445
100.0,2026Q2,19990,0.42947567576534373
100.0,2026Q3,12183,0.37290861335857006
